1%;10;15;20;30;50;70;100;200;;1%;10;15;20;30;50;70;100;200
10;-5.75;-5.73;-5.78;-5.73;-5.71;-5.72;-5.89;-5.72;;10;-2.97;-2.76;-2.64;-2.51;-2.41;-2.37;-2.33;-2.28
15;-4.65;-4.65;-4.62;-4.68;-4.66;-4.64;-4.69;-4.61;;15;-2.66;-2.52;-2.45;-2.34;-2.26;-2.23;-2.19;-2.16
20;-4.35;-4.34;-4.32;-4.35;-4.35;-4.33;-4.36;-4.34;;20;-2.6;-2.47;-2.4;-2.32;-2.25;-2.2;-2.18;-2.14
30;-4.11;-4.12;-4.11;-4.12;-4.11;-4.12;-4.11;-4.09;;30;-2.57;-2.45;-2.38;-2.3;-2.23;-2.19;-2.17;-2.14
50;-3.94;-4;-3.99;-3.97;-3.95;-3.99;-3.96;-3.96;;50;-2.55;-2.44;-2.36;-2.3;-2.23;-2.2;-2.17;-2.14
70;-3.92;-3.9;-3.91;-3.92;-3.94;-3.93;-3.91;-3.94;;70;-2.54;-2.43;-2.36;-2.3;-2.23;-2.2;-2.17;-2.14
100;-3.88;-3.86;-3.87;-3.9;-3.86;-3.85;-3.85;-3.89;;100;-2.53;-2.42;-2.36;-2.3;-2.23;-2.2;-2.18;-2.15
200;-3.81;-3.83;-3.84;-3.84;-3.83;-3.85;-3.83;-3.84;;200;-2.53;-2.43;-2.36;-2.3;-2.23;-2.21;-2.18;-2.15
;;;;;;;;;;;;;;;;;;
5%;10;15;20;30;50;70;100;200;;5%;10;15;20;30;50;70;100;200
10;-3.93;-3.96;-3.94;-3.97;-3.94;-3.93;-3.96;-3.99;;10;-2.52;-2.4;-2.33;-2.25;-2.19;-2.16;-2.14;-2.1
15;-3.53;-3.57;-3.54;-3.55;-3.55;-3.55;-3.57;-3.55;;15;-2.37;-2.28;-2.22;-2.17;-2.11;-2.09;-2.07;-2.04
20;-3.43;-3.43;-3.42;-3.43;-3.43;-3.42;-3.44;-3.43;;20;-2.34;-2.26;-2.21;-2.15;-2.11;-2.08;-2.07;-2.04
30;-3.36;-3.36;-3.34;-3.34;-3.34;-3.34;-3.33;-3.34;;30;-2.33;-2.25;-2.2;-2.15;-2.11;-2.08;-2.07;-2.05
50;-3.29;-3.3;-3.28;-3.27;-3.27;-3.28;-3.28;-3.28;;50;-2.33;-2.25;-2.2;-2.16;-2.11;-2.1;-2.08;-2.06
70;-3.26;-3.26;-3.27;-3.27;-3.27;-3.28;-3.26;-3.29;;70;-2.33;-2.25;-2.2;-2.15;-2.12;-2.1;-2.08;-2.06
100;-3.24;-3.25;-3.24;-3.27;-3.26;-3.24;-3.24;-3.24;;100;-2.32;-2.25;-2.2;-2.16;-2.12;-2.1;-2.08;-2.07
200;-3.22;-3.23;-3.23;-3.24;-3.24;-3.23;-3.24;-3.22;;200;-2.32;-2.25;-2.2;-2.16;-2.12;-2.1;-2.08;-2.07
;;;;;;;;;;;;;;;;;;
10%;10;15;20;30;50;70;100;200;;10%;10;15;20;30;50;70;100;200
10;-3.26;-3.27;-3.24;-3.26;-3.25;-3.25;-3.28;-3.27;;10;-2.31;-2.22;-2.18;-2.12;-2.07;-2.05;-2.03;-2.01
15;-3.06;-3.08;-3.06;-3.07;-3.07;-3.07;-3.07;-3.06;;15;-2.22;-2.16;-2.11;-2.07;-2.03;-2.01;-2;-1.98
20;-3;-3.02;-3.01;-3.01;-3.01;-3;-3.02;-3.01;;20;-2.21;-2.14;-2.1;-2.07;-2.03;-2.01;-2;-1.99
30;-2.97;-2.98;-2.96;-2.97;-2.97;-2.97;-2.95;-2.97;;30;-2.21;-2.14;-2.11;-2.07;-2.04;-2.02;-2.01;-2
50;-2.94;-2.95;-2.94;-2.93;-2.94;-2.94;-2.93;-2.94;;50;-2.21;-2.14;-2.11;-2.08;-2.05;-2.03;-2.02;-2.01
70;-2.93;-2.94;-2.94;-2.94;-2.93;-2.94;-2.93;-2.94;;70;-2.21;-2.15;-2.11;-2.08;-2.05;-2.03;-2.02;-2.01
100;-2.92;-2.92;-2.92;-2.93;-2.93;-2.92;-2.91;-2.92;;100;-2.21;-2.15;-2.11;-2.08;-2.05;-2.03;-2.03;-2.02
200;-2.91;-2.92;-2.91;-2.92;-2.92;-2.91;-2.92;-2.91;;200;-2.21;-2.15;-2.11;-2.08;-2.05;-2.04;-2.03;-2.02
